Number,FirstName,LastName,Status,Height,IsUndraftedFreeAgent,InjuryStatus
,Matt,Ryan,Inactive,6'4",False,
,Robbie,Gould,Inactive,6'0",True,
,Mason,Crosby,Inactive,6'1",False,
,Chad,Henne,Inactive,6'3",False,
,Marcedes,Lewis,Inactive,6'6",False,
,Andy,Lee,Inactive,6'1",False,
,Duane,Brown,Inactive,6'4",False,
,Muhsin,Muhammad II,Inactive,6'2",True,
,DeSean,Jackson,Inactive,5'10",False,
,Tom,Brady,Inactive,6'4",False,
,Matthew,Slater,Inactive,6'0",False,
,Brian,Hoyer,Inactive,6'2",True,
,Kevin,Huber,Inactive,6'1",False,
,Ryan,Succop,Inactive,6'2",False,
,Chase,Daniel,Inactive,6'0",True,
,Brett,Kern,Inactive,6'2",True,
,Carlos,Dunlap,Inactive,6'6",False,
,Colt,McCoy,Inactive,6'1",False,
,Jerry,Hughes,Inactive,6'2",False,
,Tyson,Alualu,Inactive,6'3",False,
,Jared,Veldheer,Inactive,6'8",False,
,Linval,Joseph,Inactive,6'4",False,
,Brandon,Graham,Inactive,6'2",False,
,Ndamukong,Suh,Inactive,6'4",False,
,Corey,Peters,Inactive,6'3",False,
,Jimmy,Graham,Inactive,6'7",False,
,Rodger,Saffold,Inactive,6'4",False,
,Andre,Roberts,Inactive,5'11",False,
,Devin,McCourty,Inactive,5'10",False,
,Jason,Pierre-Paul,Inactive,6'5",False,
,Clark,Harris,Inactive,6'5",False,
,Al,Woods,Inactive,6'4",False,
,Jason,Kelce,Inactive,6'3",False,
,Marcus,Cannon,Inactive,6'6",False,
,Josh,Bynes,Inactive,6'1",True,
,A.J.,Green,Inactive,6'4",False,
,J.J.,Watt,Inactive,6'5",False,
,Blaine,Gabbert,Inactive,6'5",False,
,Chris,Harris Jr.,Inactive,5'10",True,
,Justin,Houston,Inactive,6'3",False,
,Rodney,Hudson,Inactive,6'2",False,
,Taiwan,Jones,Inactive,6'0",False,
,Tyron,Smith,Inactive,6'5",False,
,Mario,Addison,Inactive,6'3",True,
,Randall,Cobb,Inactive,5'10",False,
,Kyle,Rudolph,Inactive,6'6",False,
