SeasonType,Season,AwayScore,HomeScore,StadiumID,ForecastDescription,ForecastWindChill,ForecastWindSpeed,ScoreID,NeutralVenue
2,2025,34,7,46,Broken Clouds,61,10,19391,True
2,2025,16,24,7,Few Clouds,70,7,19411,False
2,2025,27,34,18,Clear Sky,65,5,19412,False
2,2025,23,23,31,Broken Clouds,62,3,19424,False
2,2025,17,10,45,Scattered Clouds,71,7,19413,False
2,2025,30,10,26,Scattered Clouds,70,4,19414,False
2,2025,18,48,4,Clear Sky,59,2,19415,False
2,2025,34,25,1,Scattered Clouds,71,8,19430,False
2,2025,10,20,42,Scattered Clouds,73,6,19416,False
2,2025,31,25,10,Light Rain,78,7,19418,False
2,2025,21,31,54,Scattered Clouds,67,4,19417,False
2,2025,7,29,24,Broken Clouds,78,7,19422,False
2,2025,17,20,29,Clear Sky,100,18,19428,False
2,2025,30,10,22,Scattered Clouds,70,8,19419,False
2,2025,30,9,37,Few Clouds,69,2,19433,False
2,2025,24,24,20,Broken Clouds,85,11,19434,False
2,2025,13,27,54,Broken Clouds,71,9,19420,False
2,2025,23,20,45,Light Rain,73,2,19394,False
2,2025,16,33,31,Moderate Rain,66,11,19425,False
2,2025,24,17,21,Light Rain,76,5,19431,False
2,2025,3,20,11,Clear Sky,83,6,19421,False
2,2025,23,19,9,Broken Clouds,72,3,19395,False
2,2025,20,12,42,Light Rain,72,5,19396,False
2,2025,22,13,18,Clear Sky,74,6,19397,False
2,2025,22,19,53,Scattered Clouds,88,8,19426,False
2,2025,31,13,17,Few Clouds,86,9,19398,False
2,2025,22,23,54,Broken Clouds,68,3,19399,False
2,2025,12,31,3,Broken Clouds,75,7,19400,False
2,2025,17,14,8,Light Rain,74,2,19401,False
2,2025,7,27,13,Scattered Clouds,73,5,19429,False
2,2025,17,17,27,Scattered Clouds,80,3,19402,False
2,2025,0,38,20,Broken Clouds,72,6,19392,False
2,2025,31,17,19,Overcast Clouds,72,9,19393,False
2,2025,19,10,26,Light Rain,74,5,19403,False
2,2025,10,42,3,Clear Sky,64,9,19389,False
2,2025,19,17,3,Clear Sky,70,7,19404,False
2,2025,13,31,17,Few Clouds,83,9,19405,False
2,2025,13,23,12,Few Clouds,75,3,19390,False
2,2025,29,27,15,Clear Sky,73,3,19406,False
2,2025,30,3,19,Scattered Clouds,69,4,19437,False
2,2025,41,14,5,Scattered Clouds,71,5,19407,False
2,2025,17,19,6,Light Rain,70,10,19408,False
2,2025,26,7,21,Scattered Clouds,66,5,19432,False
2,2025,28,19,27,Light Rain,80,6,19409,False
2,2025,7,20,22,Clear Sky,60,10,19410,False
2,2025,6,14,2,Few Clouds,77,7,19435,False
2,2025,23,19,24,Light Rain,79,12,19423,False
2,2025,23,30,37,Scattered Clouds,65,5,19436,False
2,2025,10,20,29,Scattered Clouds,96,12,19427,False
1,2025,20,24,18,Light Rain,68,4,19039,False
1,2025,21,27,87,Overcast Clouds,60,9,19054,True
1,2025,23,20,45,Clear Sky,66,10,19055,False
1,2025,17,16,6,Clear Sky,50,5,19056,False
1,2025,8,33,9,Clear Sky,54,5,19057,False
1,2025,10,26,10,Light Rain,77,3,19058,False
1,2025,20,13,4,Overcast Clouds,58,5,19059,False
1,2025,20,13,27,Scattered Clouds,80,10,19060,False
1,2025,34,32,3,Broken Clouds,61,7,19061,False
1,2025,6,21,19,Clear Sky,58,5,19062,False
1,2025,12,20,13,Scattered Clouds,68,3,19063,False
1,2025,17,13,31,Overcast Clouds,65,3,19064,False
1,2025,13,27,22,Clear Sky,50,4,19065,False
1,2025,9,14,54,Clear Sky,72,4,19066,False
1,2025,40,41,1,Broken Clouds,52,4,19067,False
1,2025,27,24,20,Clear Sky,71,6,19068,False
1,2025,18,27,22,Few Clouds,57,1,19083,False
1,2025,17,41,7,Scattered Clouds,68,4,19084,False
1,2025,27,31,5,Clear Sky,70,3,19085,False
1,2025,37,40,17,Scattered Clouds,81,6,19086,False
1,2025,21,52,21,Clear Sky,65,4,19087,False
1,2025,33,27,2,Light Rain,79,6,19088,False
1,2025,26,21,27,Scattered Clouds,78,4,19089,False
1,2025,30,10,3,Scattered Clouds,69,1,19090,False
1,2025,31,17,8,Clear Sky,66,4,19091,False
1,2025,33,19,12,Light Rain,74,2,19092,False
1,2025,22,27,29,Clear Sky,85,4,19093,False
1,2025,28,29,9,Clear Sky,70,5,19094,False
1,2025,20,17,15,Scattered Clouds,73,5,19095,False
1,2025,22,6,42,Scattered Clouds,76,10,19096,False
1,2025,20,19,11,Scattered Clouds,79,4,19097,False
1,2025,20,9,53,Clear Sky,86,2,19098,False
1,2025,21,31,1,Scattered Clouds,65,4,19099,False
1,2025,,,26,Few Clouds,63,3,19100,False
1,2025,,,6,Light Rain,65,11,19101,False
1,2025,,,10,Clear Sky,72,5,19102,False
1,2025,,,42,Light Rain,65,3,19103,False
1,2025,,,4,Few Clouds,48,2,19104,False
1,2025,,,18,Overcast Clouds,59,6,19105,False
1,2025,,,24,Clear Sky,73,8,19106,False
1,2025,,,12,Broken Clouds,67,4,19107,False
1,2025,,,19,Overcast Clouds,66,6,19108,False
1,2025,,,54,Scattered Clouds,70,3,19109,False
1,2025,,,31,Light Rain,57,10,19110,False
1,2025,,,20,Light Rain,71,5,19111,False
1,2025,,,37,Clear Sky,63,3,19112,False
1,2025,,,3,Overcast Clouds,69,10,19113,False
1,2025,,,7,Few Clouds,79,8,19114,False
1,2025,,,29,Clear Sky,101,6,19115,False
1,2025,,,90,,,,19047,True
1,2025,,,45,,,,19116,False
1,2025,,,1,,,,19117,False
1,2025,,,21,,,,19118,False
1,2025,,,11,,,,19119,False
1,2025,,,4,,,,19120,False
1,2025,,,3,,,,19121,False
1,2025,,,24,,,,19122,False
1,2025,,,54,,,,19123,False
1,2025,,,37,,,,19124,False
1,2025,,,15,,,,19125,False
1,2025,,,53,,,,19126,False
1,2025,,,17,,,,19127,False
1,2025,,,2,,,,19128,False
1,2025,,,13,,,,19129,False
1,2025,,,54,,,,19130,False
1,2025,,,47,,,,19045,True
1,2025,,,7,,,,19131,False
1,2025,,,26,,,,19132,False
1,2025,,,9,,,,19133,False
1,2025,,,27,,,,19134,False
1,2025,,,3,,,,19135,False
1,2025,,,18,,,,19136,False
1,2025,,,29,,,,19137,False
1,2025,,,31,,,,19138,False
1,2025,,,5,,,,19139,False
1,2025,,,54,,,,19140,False
1,2025,,,1,,,,19141,False
1,2025,,,10,,,,19142,False
1,2025,,,3,,,,19143,False
1,2025,,,47,,,,19048,True
1,2025,,,7,,,,19144,False
1,2025,,,26,,,,19145,False
1,2025,,,9,,,,19146,False
1,2025,,,10,,,,19147,False
1,2025,,,2,,,,19148,False
1,2025,,,8,,,,19149,False
1,2025,,,24,,,,19150,False
1,2025,,,53,,,,19151,False
1,2025,,,22,,,,19152,False
1,2025,,,27,,,,19153,False
1,2025,,,15,,,,19154,False
1,2025,,,45,,,,19155,False
1,2025,,,19,,,,19156,False
1,2025,,,5,,,,19157,False
1,2025,,,33,,,,19049,True
1,2025,,,20,,,,19158,False
1,2025,,,6,,,,19159,False
1,2025,,,15,,,,19160,False
1,2025,,,42,,,,19161,False
1,2025,,,3,,,,19162,False
1,2025,,,12,,,,19163,False
1,2025,,,13,,,,19164,False
1,2025,,,54,,,,19165,False
1,2025,,,29,,,,19166,False
1,2025,,,17,,,,19167,False
1,2025,,,37,,,,19168,False
1,2025,,,21,,,,19169,False
1,2025,,,31,,,,19170,False
1,2025,,,54,,,,19171,False
1,2025,,,45,,,,19172,False
1,2025,,,7,,,,19173,False
1,2025,,,26,,,,19174,False
1,2025,,,5,,,,19175,False
1,2025,,,11,,,,19176,False
1,2025,,,4,,,,19177,False
1,2025,,,18,,,,19178,False
1,2025,,,27,,,,19179,False
1,2025,,,13,,,,19180,False
1,2025,,,9,,,,19181,False
1,2025,,,8,,,,19182,False
1,2025,,,15,,,,19183,False
1,2025,,,2,,,,19069,False
1,2025,,,5,,,,19070,False
1,2025,,,21,,,,19071,False
1,2025,,,22,,,,19072,False
1,2025,,,11,,,,19073,False
1,2025,,,4,,,,19074,False
1,2025,,,3,,,,19075,False
1,2025,,,8,,,,19076,False
1,2025,,,12,,,,19077,False
1,2025,,,54,,,,19078,False
1,2025,,,53,,,,19079,False
1,2025,,,1,,,,19080,False
1,2025,,,19,,,,19081,False
1,2025,,,17,,,,19082,False
1,2025,,,13,,,,19184,False
1,2025,,,88,,,,19050,True
1,2025,,,26,,,,19185,False
1,2025,,,20,,,,19186,False
1,2025,,,11,,,,19187,False
1,2025,,,2,,,,19188,False
1,2025,,,42,,,,19189,False
1,2025,,,3,,,,19190,False
1,2025,,,24,,,,19191,False
1,2025,,,31,,,,19192,False
1,2025,,,37,,,,19193,False
1,2025,,,19,,,,19194,False
1,2025,,,54,,,,19195,False
1,2025,,,22,,,,19044,False
1,2025,,,4,,,,19196,False
1,2025,,,89,,,,19046,True
1,2025,,,45,,,,19197,False
1,2025,,,1,,,,19198,False
1,2025,,,10,,,,19199,False
1,2025,,,42,,,,19200,False
1,2025,,,3,,,,19201,False
1,2025,,,8,,,,19202,False
1,2025,,,12,,,,19203,False
1,2025,,,29,,,,19204,False
1,2025,,,54,,,,19205,False
1,2025,,,6,,,,19206,False
1,2025,,,13,,,,19207,False
1,2025,,,18,,,,19208,False
1,2025,,,53,,,,19209,False
1,2025,,,11,,,,19210,False
1,2025,,,7,,,,19211,False
1,2025,,,20,,,,19212,False
1,2025,,,5,,,,19213,False
1,2025,,,21,,,,19214,False
1,2025,,,22,,,,19215,False
1,2025,,,15,,,,19216,False
1,2025,,,12,,,,19217,False
1,2025,,,29,,,,19218,False
1,2025,,,53,,,,19219,False
1,2025,,,17,,,,19220,False
1,2025,,,27,,,,19221,False
1,2025,,,54,,,,19222,False
1,2025,,,37,,,,19223,False
1,2025,,,21,,,,19224,False
1,2025,,,17,,,,19051,False
1,2025,,,7,,,,19225,False
1,2025,,,18,,,,19042,False
1,2025,,,26,,,,19226,False
1,2025,,,6,,,,19227,False
1,2025,,,9,,,,19228,False
1,2025,,,2,,,,19229,False
1,2025,,,3,,,,19230,False
1,2025,,,24,,,,19231,False
1,2025,,,12,,,,19232,False
1,2025,,,31,,,,19233,False
1,2025,,,54,,,,19234,False
1,2025,,,8,,,,19235,False
1,2025,,,19,,,,19236,False
1,2025,,,4,,,,19237,False
1,2025,,,21,,,,19238,False
1,2025,,,45,,,,19239,False
1,2025,,,7,,,,19240,False
1,2025,,,6,,,,19241,False
1,2025,,,22,,,,19242,False
1,2025,,,10,,,,19243,False
1,2025,,,42,,,,19244,False
1,2025,,,3,,,,19245,False
1,2025,,,24,,,,19246,False
1,2025,,,53,,,,19247,False
1,2025,,,29,,,,19248,False
1,2025,,,1,,,,19249,False
1,2025,,,15,,,,19250,False
1,2025,,,54,,,,19251,False
1,2025,,,24,,,,19252,False
1,2025,,,20,,,,19253,False
1,2025,,,5,,,,19254,False
1,2025,,,11,,,,19255,False
1,2025,,,10,,,,19256,False
1,2025,,,15,,,,19257,False
1,2025,,,4,,,,19258,False
1,2025,,,3,,,,19259,False
1,2025,,,18,,,,19260,False
1,2025,,,13,,,,19261,False
1,2025,,,54,,,,19262,False
1,2025,,,27,,,,19263,False
1,2025,,,31,,,,19264,False
1,2025,,,37,,,,19265,False
1,2025,,,17,,,,19266,False
1,2025,,,8,,,,19267,False
1,2025,,,31,,,,19268,False
1,2025,,,20,,,,19041,
1,2025,,,19,,,,19040,
1,2025,,,7,,,,19269,False
1,2025,,,26,,,,19270,False
1,2025,,,6,,,,19271,False
1,2025,,,17,,,,19272,False
1,2025,,,27,,,,19273,False
1,2025,,,3,,,,19274,False
1,2025,,,12,,,,19275,False
1,2025,,,29,,,,19276,False
1,2025,,,13,,,,19277,False
1,2025,,,21,,,,19278,False
1,2025,,,11,,,,19279,False
1,2025,,,2,,,,19280,False
1,2025,,,9,,,,19281,False
1,2025,,,19,,,,19052,False
1,2025,,,42,,,,19053,False
1,2025,,,15,,,,19043,False
1,2025,,,26,,,,19294,
1,2025,,,5,,,,19290,
1,2025,,,22,,,,19291,
1,2025,,,54,,,,19293,
1,2025,,,53,,,,19292,
1,2025,,,6,,,,19282,False
1,2025,,,9,,,,19283,False
1,2025,,,2,,,,19284,False
1,2025,,,3,,,,19285,False
1,2025,,,12,,,,19286,False
1,2025,,,1,,,,19287,False
1,2025,,,37,,,,19288,False
1,2025,,,45,,,,19289,False
1,2025,,,45,,,,19295,
1,2025,,,1,,,,19296,
1,2025,,,20,,,,19297,
1,2025,,,5,,,,19298,
1,2025,,,13,,,,19299,
1,2025,,,11,,,,19310,
1,2025,,,10,,,,19309,
1,2025,,,54,,,,19301,
1,2025,,,53,,,,19300,
1,2025,,,42,,,,19302,
1,2025,,,4,,,,19303,
1,2025,,,3,,,,19304,
1,2025,,,18,,,,19305,
1,2025,,,8,,,,19306,
1,2025,,,37,,,,19307,
1,2025,,,24,,,,19308,
